,ds,trend,yhat,yhat_lower,yhat_upper,fact,anomaly,importance
243,2010-09-16,0.34546462369760544,0.7898798234075728,-4.674264638593405,6.245376465064625,9,1,2.7546235349353747
557,2011-07-27,0.9354277647458336,2.270445505047658,-3.675545774666318,7.8761166265229745,8,1,0.1238833734770255
579,2011-08-18,0.9767627453839945,2.4911102277387425,-2.981006879381818,7.969848320265385,10,1,2.0301516797346153
592,2011-08-31,0.9894324498648631,2.3973106812904534,-3.3750453174241146,7.8579961685033695,9,1,1.1420038314966305
593,2011-09-01,0.9904070425172375,2.3845772134726517,-2.7907931857850405,7.771181025379439,8,1,0.22881897462056067
640,2011-10-18,1.0362128971788391,2.0316613252914135,-3.468300142318438,7.968827685680765,8,1,0.031172314319235284
643,2011-10-21,1.0391366751359625,2.7853199528042927,-2.8364531112034768,8.174550186315031,10,1,1.825449813684969
678,2011-11-25,1.07324741796907,3.1752304435974477,-2.1819702423115452,8.75260269604776,9,1,0.24739730395224058
696,2011-12-13,1.0907900855625843,2.0606251361477654,-3.6783745467143403,7.759457837308016,9,1,1.240542162691984
929,2012-08-02,1.340380031986597,3.6408245857638386,-1.6376979398389266,8.908144620857183,10,1,1.0918553791428174
945,2012-08-18,1.3590001145010913,5.7344947568921665,-0.13482368654266694,11.495388274977472,14,1,2.504611725022528
975,2012-09-17,1.3939127692157682,2.8425654153499957,-2.95139553235113,8.632781450468794,10,1,1.3672185495312057
998,2012-10-10,1.4206791378303538,3.021220735183437,-2.651911307226237,8.571475445181836,9,1,0.4285245548181642
1004,2012-10-16,1.4276616687732893,2.813607999158776,-2.8664512669023785,8.46973040500799,9,1,0.53026959499201
1033,2012-11-14,1.46141056833081,3.2410094191993104,-2.195521257497099,8.95610970939206,12,1,3.0438902906079406
1060,2012-12-11,1.4928319679806417,2.786191226908389,-2.6146087408478977,8.076325566498253,9,1,0.9236744335017466
1077,2012-12-28,1.5126158154807687,4.105102306540237,-1.4526510008628581,10.039196918459538,12,1,1.9608030815404618
1113,2013-02-02,1.5545110219516263,6.4412962846781605,0.7255160777097166,11.959489033012735,14,1,2.0405109669872648
1204,2013-05-04,1.7102787575313536,7.348874644861405,1.74354484714078,12.719321053475065,0,-1,1.74354484714078
1219,2013-05-19,1.7439957338871654,6.1258368431443975,0.47029472088040236,11.470318415411807,0,-1,0.47029472088040236
1253,2013-06-22,1.8204208802936714,8.704300194546702,3.1695833547802383,14.337134227080831,2,-1,1.1695833547802383
1305,2013-08-13,1.9373064080842877,4.608645617196707,-1.0951358357037357,10.165189243703773,11,1,0.8348107562962266
1306,2013-08-14,1.939554206812919,4.964448151529596,-0.1818312731387172,10.667445889224096,16,1,5.332554110775904
1307,2013-08-15,1.9418020055415504,4.912599778199204,-0.9795984138369757,10.226977676864035,13,1,2.773022323135965
1309,2013-08-17,1.9462976029988126,8.195306199943596,3.1268377564195493,13.54326848601626,15,1,1.4567315139837405
1316,2013-08-24,1.9620321940992316,8.136461609028174,2.3618859028348345,13.638961278556577,14,1,0.36103872144342297
1331,2013-09-08,1.9957491750287004,7.119719668649212,1.6936543081461453,13.06490929209509,16,1,2.9350907079049104
1344,2013-09-21,2.024970558500907,7.719688657677563,1.7746307061060556,13.418326720437136,14,1,0.5816732795628639
1350,2013-09-27,2.038457350872695,5.778049152820232,0.1979525495668965,10.943470629328038,0,-1,0.1979525495668965
1356,2013-10-03,2.0519441432444827,4.433382171907991,-1.2426531157243705,9.92930142494823,11,1,1.07069857505177
1386,2013-11-02,2.119378105103421,7.9801269234982675,2.6204130222647115,13.222978796503964,14,1,0.7770212034960355
1407,2013-11-23,2.1498818506520108,8.518982303231276,2.611858545588819,14.185052895789674,17,1,2.814947104210326
1414,2013-11-30,2.1591219865152818,8.677775776754642,3.4291231832461047,14.452903046464737,20,1,5.547096953535263
1416,2013-12-02,2.161762025333359,4.5677319972414505,-1.2123945342746436,10.573828418877683,11,1,0.42617158112231657
1429,2013-12-15,2.178922277650862,6.754104024403967,1.114329559971238,12.518915045688022,17,1,4.481084954311978
