,ds,trend,yhat,yhat_lower,yhat_upper,fact,anomaly,importance
1436,2013-12-22,23.925521923289462,41.37784555150642,20.282135720720508,63.08371328913917,20,-1,0.2821357207205075
1445,2013-12-31,24.108337113365877,22.98315671274826,-0.2961065804816958,44.58720550221556,48,1,3.4127944977844393
1524,2014-03-20,25.713048340751655,20.804182174012762,0.24774940567583495,40.63112891375752,41,1,0.36887108624247844
1583,2014-05-18,26.91150383122729,49.51244995668852,28.351825745335066,70.04215921100662,26,-1,2.3518257453350664
1617,2014-06-21,27.602139198620037,53.955794412958255,31.498599910553246,76.36413332131968,31,-1,0.4985999105532457
1621,2014-06-25,27.6833904183133,28.442014297480885,7.95573170231746,48.33293317734591,58,1,9.667066822654093
1624,2014-06-28,27.818084499123362,53.788594136453035,32.720953971768694,75.48234954376684,29,-1,3.7209539717686937
1639,2014-07-13,28.49155490317364,60.450086636629806,40.63237108334464,81.86681269585048,33,-1,7.632371083344637
1641,2014-07-15,28.581350957047018,34.4695310416409,14.535868330182208,54.90946553541745,14,-1,0.5358683301822076
1642,2014-07-16,28.6262489839837,35.84023580684282,14.703436423895093,55.97375228239939,14,-1,0.7034364238950932
1645,2014-07-19,28.760943064793757,60.835647958220775,41.43064962186778,82.26192467005846,36,-1,5.430649621867779
1676,2014-08-19,30.152781899831027,25.080460667015696,3.455539332951071,46.550803559151944,55,1,8.449196440848056
1776,2014-11-27,34.6425840440014,24.13649183156859,1.8839231918707855,44.47174949533345,48,1,3.528250504666552
1777,2014-11-28,34.68748205720064,31.322841178152675,10.427483739901525,51.54787995904694,54,1,2.452120040953062
1820,2015-01-10,36.61809662476755,56.23160640518921,35.45203195600967,75.10272871336494,78,1,2.8972712866350605
1893,2015-03-24,39.89562936940003,29.376199077677978,8.750846504572161,49.91961901796946,50,1,0.08038098203054034
1911,2015-04-11,40.70378385234216,68.71962943073325,47.55864124736221,88.52136345033887,94,1,5.4786365496611324
1945,2015-05-15,42.23029787567734,48.276496798479464,25.469612528314062,69.37372486230458,71,1,1.6262751376954157
1974,2015-06-13,43.532324524324196,79.59270024093622,58.99641061701548,100.30793924722146,46,-1,12.996410617015478
1991,2015-06-30,44.295581484097916,39.468068901530586,17.82208240344822,60.0799471074261,61,1,0.9200528925738993
1992,2015-07-01,44.340478952319906,48.50284099242775,26.74247384066474,69.98925679982774,78,1,8.010743200172257
2002,2015-07-11,44.78945363453973,92.55128282135696,72.47278668709568,114.4065210534209,72,-1,0.4727866870956774
2005,2015-07-14,44.92414603920567,53.27310331243598,31.79398825430282,74.57707154974776,28,-1,3.793988254302821
2009,2015-07-18,45.1037359120936,97.76673066099185,76.3369399045181,119.35960177995605,74,-1,2.336939904518104
2016,2015-07-25,45.41801818964749,81.13861233319126,60.75328080188949,100.85629584880738,108,1,7.1437041511926225
2017,2015-07-26,45.462915657869466,77.54065665729328,55.49117254312554,99.2855655224147,105,1,5.7144344775853
2057,2015-09-04,47.25881438674881,48.004278479596714,27.006317925619545,69.33695589537545,79,1,9.663044104624547
2059,2015-09-06,47.34860932319277,78.8412996932473,58.004721091972115,98.73516987442099,103,1,4.26483012557901
2166,2015-12-22,52.15263731860321,38.994947804974835,18.8472975701682,59.646482752914515,70,1,10.353517247085485
2167,2015-12-23,52.19753477335759,43.964231121187936,24.058101930925258,63.9873133255068,72,1,8.012686674493203
2168,2015-12-24,52.242432228112,48.18608967963521,27.11355617316362,69.72267246764524,80,1,10.27732753235476
2170,2015-12-26,52.33222713762081,100.8255451031486,79.6694338931078,123.72275764390287,68,-1,11.669433893107794
2174,2015-12-30,52.51181695663841,54.03692993615058,32.80836646342646,75.17311530995991,80,1,4.826884690040089
2175,2015-12-31,52.55671441139279,54.921072468713,36.10002187373019,76.0482837878549,78,1,1.9517162121451008
2177,2016-01-02,52.6465093209016,99.9978063396451,80.08822835089838,120.93823436022636,80,-1,0.0882283508983761
2184,2016-01-09,52.96079150418241,83.01843844171897,62.22542447617707,106.03482480375426,58,-1,4.225424476177068
2198,2016-01-23,53.58935587074402,87.5981323842376,66.50466228277588,109.48046623199835,116,1,6.519533768001651
2214,2016-02-08,54.052961835266046,35.26492373419733,13.21888410289356,55.45283120738574,60,1,4.547168792614258
2220,2016-02-14,54.22044523917312,88.71478313338663,66.96929697773885,109.65463793629749,111,1,1.3453620637025097
2231,2016-02-25,54.52749814633607,41.55668744420137,21.38297090293222,62.67232904678408,19,-1,2.3829709029322217
2262,2016-03-27,55.392829066522545,95.92892772307795,76.42792961942986,116.11565738884065,119,1,2.8843426111593544
2268,2016-04-02,55.5603124704296,99.63419124044543,78.82097575265195,120.16535758577409,122,1,1.834642414225911
2289,2016-04-23,56.1465043841043,101.50734031925056,79.99742381957118,123.66703635956259,135,1,11.332963640437413
2296,2016-04-30,56.34190168866253,101.44858656796384,80.17169598961407,120.68427522832388,127,1,6.315724771676116
2301,2016-05-05,56.48147119191843,47.6609034869416,26.836317021587522,68.66027474754891,73,1,4.339725252451089
2325,2016-05-29,57.150265428358956,100.00189501131509,78.54501295946586,121.21738035504691,124,1,2.782619644953087
2338,2016-06-11,57.51166494388021,104.90558052545396,84.73615278483626,125.80175128720586,83,-1,1.7361527848362641
2353,2016-06-26,57.928664384866295,111.31237733403984,90.7851476279262,133.97364179255177,134,1,0.026358207448225812
2358,2016-07-01,58.067664198528334,76.98162800307635,56.49027066261715,98.39486013322114,117,1,18.605139866778856
2360,2016-07-03,58.12326412399314,103.99082514099557,83.09693817298016,125.07619878788582,133,1,7.923801212114185
2361,2016-07-04,58.15106408672553,51.72245386441446,31.68603844421479,72.46268592960975,86,1,13.537314070390252
2370,2016-07-13,58.4012637513172,71.58875757126803,48.249297824070815,93.29827719091745,40,-1,8.249297824070815
2373,2016-07-16,58.484663639514395,128.61590572123202,106.67802037445087,149.02545059782807,257,1,107.97454940217193
2374,2016-07-17,58.51246360224681,124.85421206912814,103.37587677345762,145.56984642490949,209,1,63.430153575090515
2397,2016-08-09,59.151862745092146,49.80771003897184,28.64513326315088,72.04489980105417,76,1,3.9551001989458285
2404,2016-08-16,59.346462484218975,47.08185493188646,25.637226306415354,67.94914881591501,81,1,13.05085118408499
2414,2016-08-26,59.62446211154303,70.78072068180992,48.983096462685545,89.64147543831415,47,-1,1.9830964626855447
2444,2016-09-25,60.458461043188365,101.50131762730709,81.8922626757192,122.50558742648654,124,1,1.4944125735134577
2458,2016-10-09,60.847660574936214,99.38822044509061,79.33344338978611,120.20534730301053,76,-1,3.3334433897861118
2470,2016-10-21,61.181260173577236,59.79375696643472,39.96314658620752,79.43488300565166,36,-1,3.9631465862075217
