,ds,trend,yhat,yhat_lower,yhat_upper,fact,anomaly,importance
678,2011-11-25,8.466855540261017,29.27913005922145,-17.65042726424392,69.81093739810692,72,1,2.1890626018930845
877,2012-06-11,13.58423984120992,48.6738389258185,4.550485137077569,92.83726359655958,94,1,1.1627364034404195
1061,2012-12-12,21.537728354923885,31.93711111627538,-13.988017796240005,73.19929636409915,75,1,1.8007036359008453
1080,2012-12-31,21.718886391959014,51.74767922066951,5.00789498871779,99.79789114282451,100,1,0.20210885717548877
1109,2013-01-29,21.995390764275804,28.498366486786985,-19.91751842304253,72.78458011128038,73,1,0.21541988871962303
1183,2013-04-13,22.482864854672805,117.39307903651364,75.58726900983656,164.27604238354294,71,-1,4.587269009836561
1288,2013-07-27,22.57130263932048,150.82824696446986,107.6874186409106,199.17918858183506,107,-1,0.6874186409105931
1414,2013-11-30,22.888685094656243,108.92259846309946,62.875108416146254,151.33570579879498,154,1,2.664294201205024
1589,2014-05-24,24.382605592583616,172.98817718062378,127.01197990418773,217.16720934355618,226,1,8.83279065644382
1590,2014-05-25,24.39114229024919,164.43017726922488,119.21836740168422,209.76073893431067,223,1,13.239261065689334
1630,2014-07-04,24.805481104179563,160.9286193787863,116.44303322721132,202.40603943864377,219,1,16.593960561356226
1631,2014-07-05,24.82211456932376,199.51546441984897,156.45848317344178,246.41565240612718,268,1,21.58434759387282
1640,2014-07-14,24.9718157556215,94.29009271661918,54.257382008413934,138.21324126735976,52,-1,2.257382008413934
1667,2014-08-10,25.42091931451472,172.27812987405864,125.72313414250868,214.90598107463862,125,-1,0.7231341425086839
1688,2014-08-31,25.770222082542784,170.43297062928002,128.5341433332724,215.82886522527676,281,1,65.17113477472324
1694,2014-09-06,25.87002287340794,160.42860028250914,112.34121761049205,204.11762577387697,110,-1,2.341217610492052
1730,2014-10-12,26.468827618598908,133.81755959521524,85.94859574729311,178.83234910240552,180,1,1.1676508975944841
1736,2014-10-18,26.56862840946407,143.46860454946432,98.03802988580124,187.43972592089807,219,1,31.56027407910193
1737,2014-10-19,26.587280559647752,130.21077563263455,86.28875176691042,176.85827891252916,188,1,11.141721087470842
1765,2014-11-16,27.10954076479088,118.24146856377313,71.2097955750815,159.9030945782078,160,1,0.09690542179220074
1810,2014-12-31,27.94888752305662,68.43644061079391,23.320807794738528,110.32322027818196,136,1,25.676779721818036
1925,2015-04-25,30.094870569575832,158.5899711470709,111.01577619556153,204.09707413636997,253,1,48.90292586363003
1932,2015-05-02,30.225530147269424,154.81043528206976,106.8785737378091,202.14265745697375,105,-1,1.8785737378091056
1947,2015-05-17,30.505514956612817,148.42620363237626,102.15031145239747,194.10076595848386,210,1,15.899234041516138
1953,2015-05-23,30.61750888035018,210.54330027474944,166.78268107803547,257.01983783671557,259,1,1.980162163284433
1954,2015-05-24,30.636174534306402,202.16524748007188,156.68720899798421,247.6146918563079,281,1,33.3853081436921
1960,2015-05-30,30.74816845804376,210.258743196079,165.1681156539712,258.1495510221897,165,-1,0.1681156539711992
1961,2015-05-31,30.766834111999987,190.0250760553707,144.14059419859396,234.95934982719032,128,-1,16.14059419859396
1975,2015-06-14,31.075872297867733,181.85894221765648,136.5686732706274,223.23495007923526,241,1,17.76504992076474
1998,2015-07-07,31.661973439011394,163.79103823979432,117.0560589662431,210.15869950973484,89,-1,28.0560589662431
1999,2015-07-08,31.687456097321984,162.3290521417073,117.0058511444286,210.07033087562627,91,-1,26.005851144428604
2000,2015-07-09,31.71293875563259,164.84437437117282,121.28131290710301,211.3761523794784,116,-1,5.281312907103015
2030,2015-08-08,32.4774185049504,234.09447810147654,190.29191316208198,279.2588216478533,190,-1,0.2919131620819826
2059,2015-09-06,33.21641559595763,192.25964036468585,146.499254560944,237.28368819103042,252,1,14.716311808969579
2091,2015-10-08,34.03186081852881,107.38710947564702,59.49307790811022,149.97631496123637,153,1,3.023685038763631
2106,2015-10-23,34.414101028828135,125.31536169641626,85.64187833935556,171.15581188070271,175,1,3.8441881192972858
2142,2015-11-28,35.33147753354648,173.6116187774717,124.39822306179376,215.12872360688854,223,1,7.871276393111458
2170,2015-12-26,36.044992592771884,179.9436646085906,137.11642683330825,227.31462051696442,123,-1,14.116426833308253
2207,2016-02-01,36.831189688492714,51.083341101767715,1.78866402078132,95.4640739298176,99,1,3.5359260701823985
2243,2016-03-08,37.04358678963244,66.5351942786619,23.025820151294916,112.53012630396182,125,1,12.469873696038178
2253,2016-03-18,37.102585984393485,117.68271757396509,71.64833551385503,161.79992027254826,162,1,0.20007972745173674
2267,2016-04-01,37.185184857058935,130.23240635509458,83.46266168818725,174.7338345323241,188,1,13.266165467675904
2268,2016-04-02,37.19108477653504,187.56162213424705,140.08476144318217,235.65546396055205,268,1,32.344536039447945
2269,2016-04-03,37.19698469601114,169.65669216673246,121.96831662184279,216.59684341780573,226,1,9.40315658219427
2320,2016-05-24,37.376445210309335,166.74212022782046,119.43407581083679,214.05149508673176,114,-1,5.434075810836788
2321,2016-05-25,37.35805805398881,174.01258481112401,128.39058170057427,223.2859435333153,111,-1,17.390581700574273
2325,2016-05-29,37.28450942870675,239.58430403462046,195.93396475417356,288.2966824581051,390,1,101.70331754189488
2326,2016-05-30,37.266122272386234,152.53806527473853,109.49863732567252,199.3943919500634,241,1,41.60560804993659
2356,2016-06-29,36.71450758277071,172.9215885000297,123.87325995693644,220.4515130442711,119,-1,4.873259956936437
2359,2016-07-02,36.65934611380916,290.2158136904085,243.87936670906362,335.62999535225447,355,1,19.37000464774553
2360,2016-07-03,36.640958957488635,276.9455477544603,228.1077432457427,324.69063265800474,378,1,53.309367341995255
2361,2016-07-04,36.62257180116812,199.7513400316608,154.71437993746363,246.78992946385108,277,1,30.21007053614892
2386,2016-07-29,36.16289289315519,186.07002291001075,139.1525511800523,230.6121410635629,231,1,0.38785893643711233
2401,2016-08-13,35.88708554834742,251.39877096028917,203.30594285605548,296.2645567781677,195,-1,8.30594285605548
2419,2016-08-31,35.55611673457811,158.8866283280138,112.69948633632463,203.3958140884056,109,-1,3.6994863363246253
