,ds,trend,yhat,yhat_lower,yhat_upper,fact,anomaly,importance
203,2010-08-07,0.5305906792489657,7.021636691182781,-2.8816220868161526,17.86389912548221,18,1,0.13610087451779052
220,2010-08-24,0.6065089073430455,6.160778067494913,-4.51217858114236,16.985294408387354,20,1,3.014705591612646
287,2010-10-30,1.1712688277585204,15.079378217762004,5.290019562137324,26.051750412498965,4,-1,1.2900195621373243
313,2010-11-25,1.412913103328881,14.04941311848933,3.44553049011325,25.19961594862234,29,1,3.800384051377659
314,2010-11-26,1.422207113927741,16.011417959591267,5.409942124336968,26.49686715627671,29,1,2.5031328437232894
319,2010-12-01,1.468677166922041,13.31516655751773,2.6144931604965023,23.54072790202386,25,1,1.4592720979761395
323,2010-12-05,1.5058532093174812,18.288195752127454,7.2625766993660505,28.923313140584167,6,-1,1.2625766993660505
344,2010-12-26,1.7010274318935417,21.847709323199037,11.524576706369102,31.869595893683485,10,-1,1.5245767063691016
357,2011-01-08,1.6780725765254636,22.005050003652634,11.216087963804597,32.123858742377735,10,-1,1.216087963804597
358,2011-01-09,1.6729888878089978,20.148905896090888,8.579177092027322,30.92228344035778,7,-1,1.5791770920273223
363,2011-01-14,1.6475704442266683,15.801788738813919,5.046816539921602,26.585488590819807,27,1,0.4145114091801929
364,2011-01-15,1.6424867555102025,20.6087740512956,10.192016648431574,31.309130382875633,33,1,1.690869617124367
367,2011-01-18,1.627235689360805,13.237503756867543,2.4585446133535296,23.1544393421648,25,1,1.8455606578352004
369,2011-01-20,1.6170683119278737,15.057335251622801,4.8497392755994015,25.781708784744566,33,1,7.218291215255434
370,2011-01-21,1.6119846232114075,17.496579587364465,7.445966903123282,28.098729196341992,34,1,5.901270803658008
372,2011-01-23,1.6018172457784758,21.039312238036757,10.960275481650116,31.456543007848307,33,1,1.5434569921516932
373,2011-01-24,1.59673355706201,14.60848367595935,5.063754663783614,25.282947010674896,38,1,12.717052989325104
375,2011-01-26,1.5865661796290784,15.254763998082398,4.737447908044955,25.6538409424927,34,1,8.3461590575073
376,2011-01-27,1.5814824909126126,15.35429955862932,4.60936820894153,24.785784182242743,27,1,2.214215817757257
377,2011-01-28,1.5763988021961468,17.24199971032124,6.774866273100026,26.68945765658805,33,1,6.310542343411949
380,2011-01-31,1.5611477360467494,13.181292184660977,2.550618352988168,23.850751828258563,36,1,12.149248171741437
381,2011-02-01,1.5560640473302834,12.8142418380537,2.9930207804678925,23.642785550712734,24,1,0.357214449287266
382,2011-02-02,1.5509803586138176,13.424985076354055,2.543589209053078,23.626441356553407,28,1,4.373558643446593
399,2011-02-19,1.4645576504338984,20.108833051400037,10.434910977264423,31.83806056544607,5,-1,5.434910977264423
400,2011-02-20,1.4594739617174326,19.109678367401877,8.53194892911249,29.416849178046196,8,-1,0.5319489291124899
403,2011-02-23,1.444222895568035,14.71810823318159,4.047499974763124,25.364124128283688,33,1,7.635875871716312
404,2011-02-24,1.4391392068515692,15.180815654455436,4.3217746076250885,25.68043575799725,29,1,3.3195642420027482
406,2011-02-26,1.4289718294186375,21.44530809161552,10.713158507313649,31.548899762817733,32,1,0.451100237182267
407,2011-02-27,1.4238881407021717,20.230918237045213,9.900611361330549,29.888497401038798,40,1,10.111502598961202
409,2011-03-01,1.4137207632692401,14.236137295805483,4.677503979072953,24.95437541914953,29,1,4.045624580850468
411,2011-03-03,1.4035533858363083,14.887887117558844,4.255882557297367,25.25210147631417,39,1,13.74789852368583
415,2011-03-07,1.383218630970445,12.920592984583243,2.3976776138552425,24.197735392598524,27,1,2.802264607401476
418,2011-03-10,1.3679675648210474,13.367147617999613,2.129501915895448,24.092428752742393,26,1,1.9075712472576072
419,2011-03-11,1.3628838761045816,15.138940284345118,4.225015681956378,24.944581442781956,36,1,11.055418557218044
420,2011-03-12,1.3578001873881158,19.003528046667256,8.451384455999097,28.970024830370754,30,1,1.029975169629246
424,2011-03-16,1.3374654325222528,13.271767411745962,2.351103449907118,24.0059660469041,27,1,2.994033953095901
426,2011-03-18,1.327298055089321,15.457669259844245,4.475512644689021,25.903980554448463,31,1,5.096019445551537
575,2011-08-14,0.8728190636533364,11.527527659078876,0.5612269068030903,21.938818644106917,27,1,5.061181355893083
625,2011-10-03,1.2720436272588573,11.4828647638941,1.3679133604758718,21.774692177783823,26,1,4.225307822216177
654,2011-11-01,1.5297264210527701,12.30340046120947,1.7047501747520437,23.711012224460703,26,1,2.2889877755392973
655,2011-11-02,1.5386120346318708,13.4038560937113,3.1869035828595176,24.15924924177456,26,1,1.8407507582254397
657,2011-11-04,1.5563832617900712,16.351224665006924,5.421630182963111,26.285332117914354,33,1,6.714667882085646
658,2011-11-05,1.5652688753691721,21.136040059496203,10.581883623888247,30.70513809625874,34,1,3.2948619037412605
681,2011-11-28,1.7696379876884811,16.047982762621125,5.193145596163656,26.021395061282668,5,-1,0.19314559616365568
690,2011-12-07,1.8496085099003852,15.926907127531454,5.276897800542525,26.095050978158906,27,1,0.9049490218410945
691,2011-12-08,1.858494123479485,16.469283360259148,5.471157154078969,25.966089917850564,30,1,4.033910082149436
692,2011-12-09,1.8673797370585858,19.27347044126013,9.047922712996671,29.558230389938313,30,1,0.44176961006168725
697,2011-12-14,1.8853067810381063,17.912140239796173,7.161203939871193,28.9620953601947,33,1,4.037904639805301
699,2011-12-16,1.8765769842803242,20.94958360582063,10.488567107864764,30.829441144543125,32,1,1.1705588554568749
704,2011-12-21,1.8547524923858694,17.44846019459676,6.672937372513129,27.983213108205973,34,1,6.016786891794027
705,2011-12-22,1.8503875940069783,17.608095724103823,7.320579157445715,27.66971688682732,31,1,3.3302831131726798
706,2011-12-23,1.8460226956280872,19.957904252047992,9.809984509772537,30.28213676485569,41,1,10.71786323514431
707,2011-12-24,1.841657797249196,25.136083677934668,14.50374512617638,36.138622968258375,38,1,1.8613770317416254
711,2011-12-28,1.8241982037336322,17.20019295466835,6.270968633773934,26.675012520903206,35,1,8.324987479096794
712,2011-12-29,1.819833305354741,17.649252210306816,6.4131085329469215,28.302099037068732,30,1,1.6979009629312678
736,2012-01-22,1.7150757442613562,22.276215747471763,11.000669674432565,32.40191041483722,11,-1,0.0006696744325651593
742,2012-01-28,1.6888863539880097,23.36810714875901,13.175178310007707,33.40305554806014,10,-1,3.1751783100077073
743,2012-01-29,1.6845214556091186,21.6350432947314,11.540133654382352,32.15426894949163,5,-1,6.540133654382352
750,2012-02-05,1.653967166956882,19.730083270195777,9.242074127683516,29.334852779761984,9,-1,0.24207412768351588
771,2012-02-26,1.5623043010001703,22.081011732591776,11.80971009171367,33.55283635798601,11,-1,0.8097100917136704
809,2012-04-04,1.3964381626023106,15.3876595889295,4.766363120264874,25.358305758802413,28,1,2.6416942411975874
813,2012-04-08,1.3968044161404358,20.306813213022455,10.40677617391567,30.8004328820925,9,-1,1.4067761739156701
815,2012-04-10,1.3999585174184466,14.4200696483429,4.595365808853829,24.61667626809504,27,1,2.3833237319049587
822,2012-04-17,1.4109978718914835,13.66645595703957,3.0553149888878104,24.74905815824193,26,1,1.2509418417580704
823,2012-04-18,1.4125749225304887,14.380640469417589,3.086073959572484,24.877751307865392,25,1,0.1222486921346082
834,2012-04-29,1.4299224795595469,19.376213769386,8.835130176229129,29.965872701140768,8,-1,0.8351301762291286
889,2012-06-23,1.5166602647048375,21.725002214890683,10.460724426636757,31.472368063751006,7,-1,3.460724426636757
896,2012-06-30,1.5276996191778744,22.32254443816756,11.960046274761313,32.47150517519023,10,-1,1.9600462747613125
925,2012-07-29,1.5734340877090276,19.53519488128693,8.358523924328303,30.129877371210586,8,-1,0.3585239243283027
931,2012-08-04,1.5828961903707026,20.70995835402143,10.22998363401222,30.906565234524244,10,-1,0.22998363401221944
934,2012-08-07,1.5876272215843041,13.211426881929269,2.1411482300774995,24.19447748653786,29,1,4.80552251346214
943,2012-08-16,1.6018203152251091,16.47035745021165,6.031498261916415,27.15810893946325,36,1,8.84189106053675
950,2012-08-23,1.6128593880568467,17.59780790125646,6.783284782799404,27.315690226742557,36,1,8.684309773257443
953,2012-08-26,1.6175904192704484,22.73653115780132,12.002393395528665,33.61462203524592,12,-1,0.002393395528665465
975,2012-09-17,1.652284648170194,15.671222934609577,5.210683054142117,25.960779498240306,27,1,1.0392205017596936
1002,2012-10-14,1.6948639290926093,21.47741552439115,10.98441422302151,31.515157597463684,32,1,0.48484240253631583
1009,2012-10-21,1.7059030019243464,21.60768113060986,11.235834229933358,31.24646718136859,33,1,1.7535328186314096
1052,2012-12-03,1.7737138677143758,14.558974122355657,3.8334535757446995,24.84277248469866,25,1,0.15722751530134005
1062,2012-12-13,1.7894833901547864,17.27646994526561,6.176139995081481,28.189157496730026,29,1,0.8108425032699742
1077,2012-12-28,1.8131376738154024,19.991198346128172,9.43798780883694,31.183985807495006,9,-1,0.4379878088369402
1086,2013-01-06,1.8273302440117722,23.01956645145184,13.663552594793,33.49205720508665,38,1,4.5079427949133475
1155,2013-03-16,1.9361399488506057,27.821872721054827,17.06433265509589,37.617358679164,16,-1,1.064332655095889
1170,2013-03-31,1.9608023058304223,27.99099161118998,16.864442903541356,37.87640105896545,10,-1,6.864442903541356
1176,2013-04-06,1.9707680559542688,30.44799367946303,20.390251988457415,40.70548578817031,48,1,7.294514211829693
1206,2013-05-06,2.020596806573501,20.555296686452408,10.031579479219072,31.321935366565018,9,-1,1.0315794792190722
1235,2013-06-04,2.0687645988387593,18.735661597240988,7.8379407207568,28.816959521761717,30,1,1.1830404782382828
1237,2013-06-06,2.072086515546708,20.072577164941947,9.556281944712739,30.54192425026209,31,1,0.45807574973791176
