,ds,trend,yhat,yhat_lower,yhat_upper,fact,anomaly,importance
160,2010-06-25,0.5391909695153632,1.4608636187453667,-8.170549835136862,11.508514132935257,12,1,0.4914858670647426
912,2012-07-16,3.4993846569172407,6.602494290615467,-3.6907081486608653,17.354091363921977,20,1,2.6459086360780226
920,2012-07-24,3.534783182617856,7.41223286452987,-3.3125354128348796,18.121057547161186,22,1,3.878942452838814
973,2012-09-15,3.7704353298445454,13.492584159379597,3.0790611385898314,24.320230581842537,3,-1,0.07906113858983144
1030,2012-11-11,4.024028636615183,14.792850043854683,4.610121065244402,24.8384635340859,25,1,0.1615364659141001
1079,2012-12-30,4.242030043023254,17.906329211221177,8.095172820028258,28.104081844641968,7,-1,1.0951728200282584
1098,2013-01-18,4.326561218554897,8.714559801487974,-2.3931927961922113,19.102769859461155,22,1,2.897230140538845
1099,2013-01-19,4.331010227793405,15.08985888668957,4.848716957613833,25.336655096900635,28,1,2.6633449030993646
1101,2013-01-21,4.3399082462704195,7.054001162426237,-2.8497944118312395,17.857507249227666,19,1,1.142492750772334
1107,2013-01-27,4.366602301701465,16.039241127034035,5.609358848098745,25.77002329840824,26,1,0.22997670159175954
1138,2013-02-27,4.504521588095198,7.200821000054995,-2.5685098253177228,17.178833176591183,18,1,0.8211668234088165
1149,2013-03-10,4.55346068971878,16.54779989504174,6.599710140851721,26.610409983120963,28,1,1.389590016879037
1162,2013-03-23,4.611297776194607,17.532939075646627,6.706487312261466,26.988740718995214,31,1,4.0112592810047865
1200,2013-04-30,4.78035980782256,9.170047908554448,-1.488430735804683,18.881727146502193,29,1,10.118272853497807
1201,2013-05-01,4.784808808654875,9.101134296468684,-1.6287340319283998,18.645811818932664,22,1,3.354188181067336
1295,2013-08-03,5.203014744381511,20.41756337465964,9.764734008458555,30.44912354344525,7,-1,2.7647340084585554
1330,2013-09-07,5.358729546790582,20.023550225228906,9.591895645656496,29.597517496922894,38,1,8.402482503077106
1435,2013-12-21,5.825874042501144,23.35174968758481,13.439056925115459,34.12156439603257,5,-1,8.439056925115459
1436,2013-12-22,5.830323038779239,23.847038077765927,13.450933132392567,34.34601111748377,10,-1,3.450933132392567
1439,2013-12-25,5.843670027613527,10.345264251517715,0.18439645034393726,20.623292069954317,24,1,3.376707930045683
1464,2014-01-19,5.954894934565926,20.643315753115488,10.592388970685604,31.30759629956266,32,1,0.6924037004373389
1471,2014-01-26,5.986037908512598,22.074797018581574,11.46029291065887,32.108690276518004,9,-1,2.46029291065887
1498,2014-02-22,6.1061608080211895,22.751752137831907,13.031824835459371,32.66465398952546,11,-1,2.0318248354593713
1534,2014-03-30,6.362711904217637,24.871935427284452,14.167292291029296,35.3288118731954,37,1,1.6711881268046014
1548,2014-04-13,6.4715296184071835,24.012359614311844,13.81067715960077,33.720254135633624,34,1,0.27974586436637594
