,ds,trend,yhat,yhat_lower,yhat_upper,fact,anomaly,importance
367,2011-01-18,1.034204589224757,2.1807130369318677,-6.130376977209471,11.681038563210489,12,1,0.31896143678951105
380,2011-01-31,1.0700042510499108,2.1670435244322035,-6.678772485566991,10.078920254559469,16,1,5.921079745440531
393,2011-02-13,1.1058039128750647,4.310758433772901,-5.139573867843234,13.45664803141173,14,1,0.5433519685882704
556,2011-07-26,1.5546765228408626,4.232848074912401,-4.4933322912484135,13.279237168760863,24,1,10.720762831239137
559,2011-07-29,1.5629379809098318,4.998568082640283,-3.5074397965528297,13.75229453572254,23,1,9.24770546427746
742,2012-01-28,2.066886842441512,8.438340681780822,0.08478866651619557,17.170742727676846,19,1,1.8292572723231544
752,2012-02-07,2.094425026835243,4.082803840509531,-5.040201748915723,12.973097740616858,17,1,4.026902259383142
770,2012-02-25,2.1439937587439606,9.212348940812808,0.28586158324327704,17.42615445503264,19,1,1.5738455449673587
897,2012-07-01,2.7815767903052753,13.276480151675791,4.353347614089978,21.45690565665382,2,-1,2.3533476140899783
940,2012-08-13,3.0422747111709123,7.988995848694892,-0.28587680273205696,16.440643354139826,19,1,2.5593566458601735
943,2012-08-16,3.060464958928807,8.682694524630946,0.48215860702187135,16.7316082847766,19,1,2.2683917152234017
945,2012-08-18,3.0725917907674036,14.344326880322871,5.185244401128495,23.458503787506164,26,1,2.5414962124938363
973,2012-09-15,3.242367436507755,14.04065281108212,5.293660169154758,22.78957494272696,24,1,1.2104250572730386
995,2012-10-07,3.375762586732317,14.230890217019653,5.276069166574464,22.713788106238873,4,-1,1.2760691665744641
1009,2012-10-21,3.460650409602492,14.480310951769734,5.851319827763105,22.57550736264705,24,1,1.4244926373529516
1031,2012-11-12,3.5940455598270526,8.22627235052971,0.591692549879645,17.240644814805655,19,1,1.7593551851943445
1036,2012-11-17,3.6243626394235435,15.246124089707068,6.414073526613169,23.635486618532614,25,1,1.3645133814673862
1057,2012-12-08,3.7314034014738415,14.846142395194931,6.057380280587566,23.625515591569208,28,1,4.374484408430792
1099,2013-01-19,3.9292521477704594,16.130957261352318,7.534276695042248,24.733864692582703,26,1,1.2661353074172972
1116,2013-02-05,4.009333783176233,7.747545049666576,-0.9915380286757873,16.98113003444342,19,1,2.018869965556579
1121,2013-02-10,4.0328872053544025,15.200517858844975,6.331246410490625,23.134071662370747,26,1,2.865928337629253
1132,2013-02-21,4.084704734146374,10.586762931021434,2.062246997945222,18.889949406749782,21,1,2.110050593250218
1139,2013-02-28,4.117679525195811,9.67773224274039,1.3267891512756638,18.077917359446687,20,1,1.9220826405533131
1148,2013-03-09,4.160075685116514,18.516241474787755,9.881755572313272,27.097390381952895,31,1,3.902609618047105
1152,2013-03-13,4.1789184228590495,11.881592280498227,3.320983235874854,19.55583660196794,22,1,2.4441633980320603
1171,2013-04-01,4.20601476787068,11.30500325874886,2.4777701049931857,20.16498020452422,23,1,2.8350197954757803
1200,2013-04-30,4.203409761219679,10.697417287150435,2.3364719412067525,18.700412745299797,20,1,1.299587254700203
1212,2013-05-12,4.202331827433059,19.64332889933954,11.602155582947216,28.451484285071857,30,1,1.5485157149281434
1282,2013-07-21,4.196043886262061,18.273366559047407,9.333044055091372,26.828359691331183,9,-1,0.33304405509137247
1293,2013-08-01,4.19505578752364,11.295811186865,2.9438813009838563,19.93383673636348,21,1,1.0661632636365184
1328,2013-09-05,4.191911836992304,11.724846398909532,3.4092962878614994,19.61205301694508,20,1,0.3879469830549205
1329,2013-09-06,4.191822009834266,13.162971003113041,5.115875128584566,21.853373597215654,22,1,0.1466264027843458
1357,2013-10-04,4.1893068494091965,12.836615907595194,3.7512537709590608,20.746558286579166,22,1,1.253441713420834
1380,2013-10-27,4.187240824774319,16.729024792938116,8.666457963567922,24.747369468274034,8,-1,0.6664579635679218
1393,2013-11-09,4.198130982562519,18.350177920695764,10.331058118911114,26.457082452546285,28,1,1.5429175474537153
1413,2013-11-29,4.256623993615235,11.793961372997693,2.9449051828783124,20.182217735160453,26,1,5.817782264839547
1436,2013-12-22,4.323890956325858,16.954715771686466,8.244060197193487,25.861915267877546,8,-1,0.24406019719348748
1438,2013-12-24,4.329740257431131,9.920505244290895,1.188680687401523,18.46470613668945,20,1,1.5352938633105495
1459,2014-01-14,4.391157919036481,9.162161776363062,0.7804575276758549,18.116773499906085,23,1,4.883226500093915
1463,2014-01-18,4.402856521247025,17.966430130695247,8.806471507638554,26.476391471197587,28,1,1.5236085288024128
1477,2014-02-01,4.443801628983925,17.526562279734545,8.802230838941789,25.908833616960532,28,1,2.091166383039468
1499,2014-02-23,4.508143941141913,18.372024695999293,10.22659348468981,27.841543526521065,30,1,2.1584564734789353
1505,2014-03-01,4.525691844457728,18.74536685849035,10.121925195775166,26.973189201238107,31,1,4.026810798761893
1509,2014-03-05,4.5373904486224665,10.603780043052135,2.0318851888691136,19.503861626553718,20,1,0.4961383734462821
1535,2014-03-31,4.613431375693267,12.371200033830204,4.098213886195941,20.772796304894847,21,1,0.22720369510515326
1547,2014-04-12,4.648527188187482,22.023731843075627,13.370220851820534,29.879965235633218,31,1,1.1200347643667818
1548,2014-04-13,4.651451839228668,20.862531352445124,12.952191550670923,29.803465865739273,12,-1,0.9521915506709231
1575,2014-05-10,4.730417417340652,23.643997904350744,14.915205638393727,32.273420647722,35,1,2.7265793522780015
1585,2014-05-20,4.759663927752499,12.515510083561512,4.0210761921624965,21.512221493339247,4,-1,0.021076192162496454
1587,2014-05-22,4.765513229834868,13.260753799834022,3.8769079808395914,21.741382463818336,23,1,1.2586175361816636
1617,2014-06-21,4.853252761070406,23.199030067932007,14.534800300414904,32.60275468968634,14,-1,0.5348003004149042
1618,2014-06-22,4.856177412111591,21.87523935027817,13.62521559654507,30.74745699598198,12,-1,1.62521559654507
1659,2014-08-02,4.978297525355678,22.282015710346045,13.246819988841622,31.109946026646387,13,-1,0.24681998884162226
1660,2014-08-03,4.9812803190430595,20.774274422799884,12.282556952325054,29.837646850295847,12,-1,0.28255695232505396
1672,2014-08-15,5.017073843291649,15.99932007029156,8.308721574976873,24.76702990564814,26,1,1.2329700943518596
1692,2014-09-04,5.076729717039297,14.40039219767995,5.832693964830082,22.637586365361777,28,1,5.362413634638223
1697,2014-09-09,5.091643685476209,12.672195459830805,4.181146551077444,21.24876925532543,26,1,4.751230744674569
1722,2014-10-04,5.166213527660769,23.223784024366516,14.367222846727948,31.841288856470662,33,1,1.158711143529338
1730,2014-10-12,5.190075877159829,22.50791674765241,14.348279164585968,31.37017922939183,14,-1,0.34827916458596775
1737,2014-10-19,5.210955429997319,22.451099696387214,13.59350138826623,30.81177506635178,10,-1,3.5935013882662297
1764,2014-11-15,5.291490779253611,22.172169789611935,13.796827879785923,30.788495196499795,31,1,0.21150480350020473
1777,2014-11-28,5.33026705852516,15.095075586411953,5.9986199984886674,23.895537020439694,24,1,0.10446297956030648
1833,2015-01-23,5.497303338464136,14.976480394545948,6.436533825892055,23.73537431433568,6,-1,0.436533825892055
1837,2015-01-27,5.509234501316921,11.766678512578842,3.197859588877083,20.256102555701716,23,1,2.743897444298284
1849,2015-02-08,5.545027989875273,20.349259877834832,11.674092731437826,28.96483947952715,9,-1,2.6740927314378258
1877,2015-03-08,5.581838008059066,22.69875432483353,14.186643850036633,31.335264382873337,34,1,2.664735617126663
1878,2015-03-09,5.582952473900833,13.738055590608486,4.947383828384577,22.573623200274948,23,1,0.4263767997250518
1884,2015-03-15,5.5896392689514425,24.966867718985256,16.42464592783507,33.37837627391088,34,1,0.6216237260891191
1886,2015-03-17,5.59186820063498,15.646754939929792,7.849449841036376,24.39195897149569,32,1,7.60804102850431
1890,2015-03-21,5.596326064002052,26.300423371991403,17.114698716182026,34.26551296451759,39,1,4.73448703548241
1891,2015-03-22,5.597440529843819,24.615452408452807,16.21934540876579,33.365645921530145,38,1,4.634354078469855
1892,2015-03-23,5.598554995685588,15.115894378550815,6.895768054152257,23.545382995098272,24,1,0.45461700490172774
1898,2015-03-29,5.605241790736197,24.345529434376,15.995725838578869,33.46168422271105,44,1,10.53831577728895
1904,2015-04-04,5.611928585786806,26.080506975238205,17.61118046884615,35.11258869540206,36,1,0.8874113045979399
1906,2015-04-06,5.6141575174703435,15.131825003066975,5.968441384064676,23.515799050412518,28,1,4.484200949587482
1914,2015-04-14,5.6230732442044875,15.826693151499748,7.625230504486509,24.117738358890975,26,1,1.8822616411090252
1919,2015-04-19,5.628645573413329,25.528024495230625,16.517567846446223,33.96409514388992,40,1,6.035904856110079
1921,2015-04-21,5.630874505096865,15.69206398073362,7.019043794259953,24.174906205278266,35,1,10.825093794721734
1947,2015-05-17,5.659850616982838,25.108535566680438,16.903996683971602,34.22099641147621,12,-1,4.903996683971602
1950,2015-05-20,5.663194014508142,15.567988909303441,6.191760263668588,24.69477982782313,25,1,0.30522017217687036
1953,2015-05-23,5.666537412033447,26.062051114942225,17.60367303512493,34.42834737042738,16,-1,1.603673035124931
1974,2015-06-13,5.689941194414968,26.492108632347986,17.182785876366825,35.25509786198289,15,-1,2.1827858763668253
1982,2015-06-21,5.698856920754966,25.65139499998943,17.856759851936463,33.837904907075846,14,-1,3.856759851936463
1991,2015-06-30,5.708887112887464,16.50352065343897,7.826167376338698,24.922469980856427,26,1,1.0775300191435733
1992,2015-07-01,5.710001578679963,18.244583735898786,9.927719931029833,27.065472522029463,34,1,6.934527477970537
1996,2015-07-05,5.714459441849962,26.05583704596872,17.727531533710174,34.78763160110424,16,-1,1.7275315337101738
2017,2015-07-26,5.737863223492455,25.314564986976176,16.841941078412898,33.35738760452584,16,-1,0.8419410784128978
2024,2015-08-02,5.745664484039954,24.162754844313316,15.527304422684896,32.48029190109896,12,-1,3.527304422684896
2032,2015-08-10,5.7545802103799515,14.502214209595138,6.677989456411401,23.364869203107137,4,-1,2.6779894564114013
2080,2015-09-27,5.808074568419937,25.314986217935132,17.26189499370537,33.29274167758208,15,-1,2.2618949937053685
