,ds,trend,yhat,yhat_lower,yhat_upper,fact,anomaly,importance
242,2010-09-15,26.91048191971527,125.74447213072227,53.80857030068312,193.84922982979057,198,1,4.150770170209427
343,2010-12-25,31.767882614360225,135.69198270893312,66.10511573686989,203.1346457597289,39,-1,27.10511573686989
344,2010-12-26,31.815975690544825,199.85794786799656,125.78902826205788,269.7027653896966,75,-1,50.78902826205788
350,2011-01-01,31.93378215021175,200.4794847776025,127.09539303168312,273.24142893902876,80,-1,47.095393031683116
423,2011-03-15,31.289611440630953,135.35091285297136,64.49852177780267,203.96655200646933,211,1,7.033447993530672
462,2011-04-23,30.945465445101483,245.0946486666244,172.0262013960138,318.13873353641566,155,-1,17.02620139601379
463,2011-04-24,30.936641188805858,219.82225042146257,148.9263047867846,288.8989062871193,119,-1,29.926304786784613
508,2011-06-08,33.18901680703012,163.13613015286577,84.79280325601765,231.96235275424962,239,1,7.037647245750378
532,2011-07-02,34.390283803416395,294.8871608197269,222.47273746670334,365.18447621682066,207,-1,15.472737466703336
582,2011-08-21,36.89292331233638,285.22780821318815,219.3673467436656,354.7506788290024,208,-1,11.367346743665593
626,2011-10-04,39.09524515806829,160.1024387427525,94.95391521269045,230.9012079739767,253,1,22.09879202602329
627,2011-10-05,39.14529792728946,169.12467832390413,100.90084097868001,239.23739657523748,253,1,13.762603424762517
631,2011-10-09,39.34550900417419,258.35438455973474,192.14876284644367,329.2697081920008,164,-1,28.148762846443674
643,2011-10-21,39.94614223482834,221.4413634375115,146.7494536414489,285.210576891786,314,1,28.78942310821401
654,2011-11-01,40.49672269626132,145.76499422804474,75.22787221438828,214.00238432186873,216,1,1.9976156781312682
665,2011-11-12,41.047303157694294,302.7366332844596,230.76598702497523,374.29807992584307,379,1,4.701920074156931
697,2011-12-14,42.539026113776075,151.2879543523445,83.33635787451264,221.98154129522462,230,1,8.018458704775384
707,2011-12-24,42.48972551100797,299.11609389175936,231.15018869698477,373.06386453860773,158,-1,73.15018869698477
708,2011-12-25,42.48479545073116,146.65931874762137,75.18120685873345,218.79004566268497,42,-1,33.18120685873345
715,2012-01-01,42.45028502879349,232.5415427754168,156.4366987746197,307.7015783607244,120,-1,36.436698774619714
745,2012-01-31,42.30238322048919,148.55648674704227,83.14141330230927,221.49257828398345,228,1,6.507421716016552
810,2012-04-05,41.98192930249653,205.52839863709764,130.99128054269104,272.5061447689754,280,1,7.493855231024611
813,2012-04-08,41.96713955825383,298.6755391429126,232.00598345217693,370.12891826241156,178,-1,54.005983452176935
893,2012-06-27,41.57274637844826,208.5197308532941,136.22152707491134,274.1379396987299,280,1,5.862060301270105
897,2012-07-01,41.55302671945798,321.87199724004955,251.85948190591392,394.66988920229716,193,-1,58.859481905913924
903,2012-07-07,41.523447230972565,359.58002892371746,292.86022961429836,432.9553638066244,268,-1,24.860229614298362
995,2012-10-07,46.13638652210774,304.23508023652215,232.61389362737938,374.1368290267632,226,-1,6.613893627379383
1071,2012-12-22,51.342193037581126,359.2910659138163,291.42011818224796,423.86022639915404,288,-1,3.420118182247961
1092,2013-01-12,52.7806380979939,354.0776289635074,285.49981020896723,424.7509208091665,466,1,41.24907919083353
1093,2013-01-13,52.849135481823076,314.5821195108447,241.74540023615438,384.5072520812501,431,1,46.4927479187499
1120,2013-02-09,54.6985648452109,390.05766218410673,318.79533499353386,460.5662645948664,299,-1,19.795334993533857
