,ds,trend,yhat,yhat_lower,yhat_upper,fact,anomaly,importance
931,2012-08-04,2.7339668835554054,7.686383562637546,1.1171827603743079,14.508460189994228,1,-1,0.11718276037430786
1022,2012-11-03,3.1924607233628253,8.38354250391604,1.5762302420252738,15.767122273156868,21,1,5.232877726843132
1061,2012-12-12,3.3889580191701696,3.4153152239506483,-3.1690517725784457,9.876731162823756,12,1,2.1232688371762443
1064,2012-12-15,3.4040731905796306,8.122925382322675,0.8265208744460812,15.345829146521982,17,1,1.6541708534780177
1100,2013-01-20,3.5854552474931736,8.381040461007977,1.6412246568512052,15.005290442808127,16,1,0.9947095571918734
1113,2013-02-02,3.650954323600841,9.2808995934291,2.6951664273302574,16.91131390778526,2,-1,0.6951664273302574
1141,2013-03-02,3.7920292567558196,9.662152357776254,2.5248334906362127,16.849895245742452,18,1,1.1501047542575478
1197,2013-04-27,4.0740919505289135,12.14173528688152,5.480882430323433,19.164696704540315,22,1,2.835303295459685
1214,2013-05-14,4.159706590230567,5.823960245532116,-0.8106251090442944,12.599470521058992,13,1,0.4005294789410083
1219,2013-05-19,4.184887366613407,10.938693558513645,3.876349548169299,18.47995475183218,21,1,2.5200452481678184
1220,2013-05-20,4.189923521889974,9.15338896643724,2.199880824576777,15.828413711191565,17,1,1.1715862888084345
1225,2013-05-25,4.215104298272813,11.908964971461069,5.180414444821022,18.87339626349424,21,1,2.1266037365057606
1226,2013-05-26,4.220140453549381,10.802383071682803,4.215452738064268,17.979341052866644,19,1,1.0206589471333558
1231,2013-05-31,4.2453212299322205,7.3136293353894795,0.7759168188679362,14.249078510071845,16,1,1.7509214899281549
1236,2013-06-05,4.270502006315059,5.656462863057693,-1.3598618063300567,12.61830486962759,13,1,0.3816951303724103
1257,2013-06-26,4.376261267122983,7.644903516008332,0.844641119963867,14.722844357406231,22,1,7.277155642593769
1258,2013-06-27,4.381297422399551,7.66074534467555,0.3510128355152491,14.529354758022329,23,1,8.470645241977671
1267,2013-07-06,4.426622819888662,12.344910458342962,5.439756866731934,19.366783131272317,22,1,2.6332168687276827
1301,2013-08-09,4.53802442719234,8.553982405370817,1.7378750447146591,14.912917305985355,16,1,1.0870826940146454
1345,2013-09-22,4.66560034606191,11.090772098585376,3.612951737844298,18.26010862693033,23,1,4.739891373069671
1357,2013-10-04,4.700393778480885,7.536151930495255,0.5716907726232778,14.183489113280665,16,1,1.8165108867193354
1373,2013-10-20,4.7467850217061835,12.23533570255077,4.9345577285304,19.32304982845703,20,1,0.6769501715429698
1374,2013-10-21,4.749684474407764,6.52440799602662,-0.45394064813657065,12.970887810809776,13,1,0.029112189190223958
1385,2013-11-01,4.781578454125158,8.234089486654286,1.3214621562381583,15.33967723008922,16,1,0.6603227699107794
1418,2013-12-04,4.87726035047646,4.65467685439986,-2.3567951132600955,12.028421794793276,13,1,0.9715782052067237
1428,2013-12-14,4.906254862733348,11.545268997209327,4.032608841589706,18.548170628093334,2,-1,2.032608841589706
1455,2014-01-10,4.98454004582695,7.70019208769387,0.48386304776005234,14.573341876109438,15,1,0.42665812389056157
1469,2014-01-24,5.025132362986594,8.153058829836215,1.4512138473892682,15.166669006454134,17,1,1.8333309935458661
1494,2014-02-18,5.0976186436288184,6.1961383718234755,-0.95314194187669,13.021833080556766,16,1,2.9781669194432343
1497,2014-02-21,5.1063169973058855,8.884621201325746,1.5094244427138335,15.998919746062699,18,1,2.0010802539373014
1500,2014-02-24,5.115015350982951,6.176508534448136,-1.2686315372931467,12.889266086594802,13,1,0.11073391340519834
1513,2014-03-09,5.152708239491426,12.969119407952954,6.505734210012166,20.175400693616606,3,-1,3.5057342100121662
1514,2014-03-10,5.155607693538931,6.946945004102441,0.352728040770302,13.973893232542546,15,1,1.0261067674574544
1518,2014-03-14,5.167205509728946,9.875357863045611,3.956295201502921,16.918308094986692,20,1,3.081691905013308
1519,2014-03-15,5.17010496377645,14.83616012994472,7.419654617396414,21.74732581546495,6,-1,1.4196546173964144
1537,2014-04-02,5.22229513663152,7.538820863140197,0.5268033079823626,13.904897061962217,18,1,4.095102938037783
1548,2014-04-13,5.254189131154062,12.118340659302916,5.0153628301872875,18.91190237191048,5,-1,0.015362830187287457
1553,2014-04-18,5.268686401391581,10.951152083399576,4.13933385825038,17.919552308892385,4,-1,0.1393338582503798
1560,2014-04-25,5.288982579724109,10.603490712985796,3.407252024052179,16.793330018534185,21,1,4.206669981465815
1569,2014-05-04,5.315077666151645,14.135460770388827,7.535239472017588,21.117661500354313,7,-1,0.5352394720175884
1579,2014-05-14,5.344072206626683,8.285229807518057,1.1408738139019838,15.565399322569512,23,1,7.434600677430488
1582,2014-05-17,5.352770568769194,15.298747248900266,8.282795092403374,22.599815814495948,7,-1,1.282795092403374
1583,2014-05-18,5.355670022816698,13.988958489026244,6.731871602135481,20.746564263093276,5,-1,1.731871602135481
1587,2014-05-22,5.367267839006713,8.458596807967366,1.4311339676528856,15.809244460089,16,1,0.19075553991100058
1615,2014-06-19,5.448452552336821,9.532497421510978,2.6508622066251513,17.17056030443984,19,1,1.8294396955601613
1618,2014-06-22,5.4571509144793335,15.438311666805161,8.787511688474805,22.161011084467262,5,-1,3.7875116884748046
1620,2014-06-24,5.462949822574341,8.869358247231432,1.7236494111184868,15.669636677861693,18,1,2.3303633221383073
1624,2014-06-28,5.4745476347777755,16.491512059548818,9.095252257494016,23.782406529238358,26,1,2.217593470761642
1630,2014-07-04,5.4919443510896375,10.258872301283587,3.1204385786460422,16.782605105690074,17,1,0.2173948943099262
1660,2014-08-03,5.578927932648945,14.234638681157959,6.991936765539713,21.210173565945933,22,1,0.789826434054067
1688,2014-08-31,5.660112608770964,14.934004507984417,8.084322256865844,22.181570091062497,8,-1,0.08432225686584438
1689,2014-09-01,5.663012061489609,10.913594492955509,4.173988381520451,17.610066567112018,18,1,0.38993343288798243
1733,2014-10-15,5.790587981109926,8.224027408681717,1.4959180600208026,14.780842242608353,1,-1,0.49591806002080263
1758,2014-11-09,5.872192713017585,13.206826176671965,6.737315775040385,20.743421036004076,23,1,2.256578963995924
1760,2014-11-11,5.878820565176832,6.072158220826201,-0.4644273466496614,12.550178381734005,15,1,2.449821618265995
1778,2014-11-29,5.938471234610063,14.398728084086045,7.237065529547043,21.376325678018645,7,-1,0.23706552954704296
1785,2014-12-06,5.96166871716743,13.355969522391016,6.066193921737106,20.035453201045673,6,-1,0.06619392173710636
1796,2014-12-17,5.998121904043294,6.748947021629835,-0.3878005409586163,13.702474761311661,15,1,1.2975252386883387
1797,2014-12-18,6.001435830122917,7.065504707247715,-0.0451855934353146,14.176072695866022,15,1,0.8239273041339779
1802,2014-12-23,6.018005460521037,6.936849285736695,0.3203453174955206,13.300577554429807,18,1,4.6994224455701925
1803,2014-12-24,6.021319386600662,7.982528021191702,1.0675020888587883,15.113044424159414,19,1,3.8869555758405863
1819,2015-01-09,6.074342203874644,9.35399727374104,2.558011496962045,16.47088260854497,0,-1,2.558011496962045
1842,2015-02-01,6.150562503705995,14.252570719748475,7.444669645585542,21.25149442636469,23,1,1.7485055736353097
1850,2015-02-09,6.177073912342987,6.089268609447806,-0.7714085123470952,13.538382471332621,14,1,0.4616175286673787
1856,2015-02-15,6.1973494433412535,14.355060552218601,7.255547002500419,21.03449923586809,22,1,0.9655007641319102
1862,2015-02-21,6.217820961599782,16.834939109215217,10.336139438455294,23.65270101871332,6,-1,4.3361394384552945
1863,2015-02-22,6.221232881309538,15.277809312371815,7.804351840153546,22.416541078124187,5,-1,2.8043518401535463
1912,2015-04-12,6.388416947087524,14.658858999127084,7.893424916726687,21.452191936471213,25,1,3.5478080635287874
1943,2015-05-13,6.494186458089923,10.072190673006475,2.8496972077370626,17.075784976787503,2,-1,0.8496972077370626
1948,2015-05-18,6.511246056638697,14.207589097104684,7.117301907341203,20.975928855233075,21,1,0.024071144766924846
1975,2015-06-14,6.603367888444259,17.214140196097713,10.276719147409166,24.369097221779572,10,-1,0.2767191474091657
1994,2015-07-03,6.668194361958382,12.688421953360237,5.854335238414082,19.891051184429607,20,1,0.10894881557039326
1996,2015-07-05,6.675018201275657,17.14948188057105,10.087776808508803,24.086784740279555,8,-1,2.087776808508803
2002,2015-07-11,6.695489719227486,18.625396365833478,11.181268714501133,26.718195853623715,27,1,0.2818041463762846
2017,2015-07-26,6.746668514107055,17.52683986601952,10.77144887051672,24.333592335314822,7,-1,3.7714488705167195
2028,2015-08-06,6.784199630352074,10.454896390083524,3.103775653859185,17.411403213828194,3,-1,0.10377565385918519
2049,2015-08-27,6.855849943183473,11.242512051375254,4.574260322857482,18.203740141346696,19,1,0.7962598586533041
2050,2015-08-28,6.85926186284211,13.391930456510368,6.531392890041115,20.50928898465547,4,-1,2.531392890041115
2088,2015-10-05,6.988914802166186,7.730153751587265,0.4520356293267622,14.841246424080518,15,1,0.1587535759194818
2116,2015-11-02,7.08444849867887,8.629202207714433,1.4991822625626838,15.670414018909025,16,1,0.32958598109097537
2164,2015-12-20,7.248220549843471,16.420406064506768,8.962227556609514,23.566559208099466,8,-1,0.9622275566095144
2174,2015-12-30,7.28233972716943,9.83134896018653,2.6372720697191023,16.84482377091748,20,1,3.155176229082521
2175,2015-12-31,7.285751644902025,9.889601335623526,2.5356516623554524,17.191098968455663,18,1,0.8089010315443375
2226,2016-02-20,7.4597594402739045,20.13214879846374,12.82255350915474,27.280398181722102,35,1,7.719601818277898
2241,2016-03-06,7.5109382012681145,18.075334958424595,11.094225412693179,25.167212727432474,26,1,0.8327872725675256
2242,2016-03-07,7.514350118667729,9.320086604560732,2.5221534989821945,15.86167116951851,17,1,1.1383288304814894
2276,2016-04-10,7.630355310254607,17.54403788947206,10.822803370488687,25.073308839923374,26,1,0.9266911600766257
2288,2016-04-22,7.671298319049974,14.99500791813262,7.348297909858233,21.721064131193508,22,1,0.27893586880649224
2289,2016-04-23,7.674710236449587,22.624558417688142,16.0583914684062,29.58935021769732,30,1,0.4106497823026807
2304,2016-05-08,7.725888997443798,20.249666587177067,13.574538867088988,27.198080125707,29,1,1.8019198742929987
2310,2016-05-14,7.746360501841482,22.111977512054484,14.31049640287029,29.382322773550356,31,1,1.6176772264496435
2311,2016-05-15,7.749772419241097,20.206763195331863,12.88705758521289,27.074574954948382,29,1,1.9254250450516182
2316,2016-05-20,7.766047435269694,14.712438867748041,8.418677524345386,21.412977709672912,8,-1,0.4186775243453855
2324,2016-05-28,7.787066206710826,21.476748883041427,14.178575406753376,27.757693991338645,29,1,1.2423060086613553
2327,2016-05-31,7.794948246001251,9.590152755822333,3.1225865922944642,16.44982233183309,18,1,1.55017766816691
2331,2016-06-04,7.805457631721817,20.517476182551672,13.752873456594536,27.913341379174966,11,-1,2.7528734565945356
2335,2016-06-08,7.815967017442382,10.698682523888644,3.7281522284295106,17.624555140504196,19,1,1.3754448594958042
2336,2016-06-09,7.818594363872523,11.085187613911664,4.187788511514844,17.969998225730333,19,1,1.0300017742696674
2344,2016-06-17,7.839613135313657,15.86210874150359,8.925130947612057,23.417741635100704,7,-1,1.9251309476120575
2345,2016-06-18,7.842240481743798,23.677211924915113,16.589626827809667,30.983072682011297,16,-1,0.589626827809667
2348,2016-06-21,7.850122521034223,12.70809726693425,5.727142203311889,19.896386112047608,21,1,1.1036138879523918
2359,2016-07-02,7.879023331765779,22.6746397989706,15.851194521827846,30.350608194611436,12,-1,3.8511945218278463
2365,2016-07-08,7.894787410346629,14.23211598383055,7.787105612702608,20.827104356134704,23,1,2.1728956438652958
2366,2016-07-09,7.8974147567767705,21.891067716874602,14.92491064495304,28.603445748487783,32,1,3.3965542515122173
2367,2016-07-10,7.900042103206911,19.99574785711891,12.722285032606871,27.54372817520378,11,-1,1.7222850326068713
2370,2016-07-13,7.907924142497336,12.029574790104054,4.699095437725677,19.259676824360227,23,1,3.740323175639773
2372,2016-07-15,7.913178835357618,14.996988829579328,8.024523914740167,21.72305142410941,22,1,0.2769485758905894
2400,2016-08-12,7.986744535401581,15.167898495049654,8.291460943879946,22.541028394980337,28,1,5.458971605019663
2402,2016-08-14,7.991999228261864,20.959561518599976,13.901763665553373,28.03585409363253,13,-1,0.9017636655533732
2405,2016-08-17,7.999881267552289,12.587797392351586,5.153820039486311,19.39210821160048,5,-1,0.15382003948631073
2412,2016-08-24,8.01827269256328,12.926317275036697,6.124715446712478,19.530419017294378,6,-1,0.1247154467124778
2416,2016-08-28,8.028782078283845,21.42173130077562,13.874437766842265,28.44898811964847,31,1,2.551011880351531
2420,2016-09-01,8.03929146400441,12.645085550468877,5.968969575522533,19.94544801239457,21,1,1.0545519876054286
2462,2016-10-13,8.062074830432291,11.269719775123349,4.735877240637417,18.867976301210096,21,1,2.1320236987899044
2467,2016-10-18,8.061088145867181,10.885175718539402,3.97324238169397,17.690031599225662,25,1,7.309968400774338
