ds,yhat,fact,anomaly,importance
2010-09-16,0.7898798234075728,9,1,2.481355330098112
2011-07-27,2.270445505047658,8,1,0.2762478490307867
2011-08-18,2.4911102277387425,10,1,1.9174521225151526
2011-08-31,2.3973106812904534,9,1,1.0070484763747176
2011-10-18,2.0316613252914135,8,1,0.18338331267096297
2011-10-19,2.2096999108739848,8,1,0.07559925813400259
2011-10-21,2.7853199528042927,10,1,1.2808387326683786
2011-11-25,3.1752304435974477,9,1,0.20170306067137211
2011-12-13,2.0606251361477654,9,1,1.2594781856634842
2012-08-02,3.6408245857638386,10,1,0.9835952036632882
2012-08-18,5.7344947568921665,14,1,2.9944276522689925
2012-09-17,2.8425654153499957,10,1,1.3795355384061274
2012-10-10,3.021220735183437,9,1,0.32634539476314295
2012-10-16,2.813607999158776,9,1,0.44938547381672755
2012-11-14,3.2410094191993104,12,1,3.160079660856969
2012-12-11,2.786191226908389,9,1,0.8054488616048303
2012-12-28,4.105102306540237,12,1,2.4015465578232753
2013-02-02,6.4412962846781605,14,1,1.5072748755047538
2013-05-04,7.348874644861405,0,-1,1.7853002529203097
2013-05-18,7.395761949620954,2,-1,0.12256335132792895
2013-05-19,6.1258368431443975,0,-1,0.5666713581515104
2013-06-22,8.704300194546702,2,-1,0.9866339785819465
2013-08-13,4.608645617196707,11,1,0.8335825664922893
2013-08-14,4.964448151529596,16,1,5.407122484601725
2013-08-15,4.912599778199204,13,1,2.562828177099533
2013-08-17,8.195306199943596,15,1,1.4538424253381663
2013-08-24,8.136461609028174,14,1,0.31380506397850816
2013-09-08,7.119719668649212,16,1,3.280494346954791
2013-09-21,7.719688657677563,14,1,0.8731010567636268
2013-10-03,4.433382171907991,11,1,1.0723994490029067
2013-11-02,7.9801269234982675,14,1,0.4252334488378384
2013-11-23,8.518982303231276,17,1,2.9827849982775607
2013-11-30,8.677775776754642,20,1,5.032956284521914
2013-12-02,4.5677319972414505,11,1,1.2138094066668828
2013-12-15,6.754104024403967,17,1,4.751089448461094
2013-12-17,4.4972434022534165,10,1,0.03094656840547927
