ds,yhat,fact,anomaly,importance
2012-09-17,11.352424087548563,32,1,1.0822874547329846
2013-12-22,41.37784555150642,20,-1,0.1532814800349982
2013-12-31,22.98315671274826,48,1,4.941927489743129
2014-05-18,49.51244995668852,26,-1,0.5638387391927537
2014-06-21,53.955794412958255,31,-1,1.5359836002878637
2014-06-25,28.442014297480885,58,1,8.472354550549689
2014-06-28,53.788594136453035,29,-1,3.1754810830510607
2014-07-13,60.450086636629806,33,-1,7.306539489263372
2014-07-15,34.4695310416409,14,-1,0.9162436872531075
2014-07-16,35.84023580684282,14,-1,0.6456773171627361
2014-07-19,60.835647958220775,36,-1,3.4120741499070917
2014-08-05,25.13290858028845,47,1,2.7902095040500114
2014-08-18,26.13802841254653,49,1,2.4630138274771483
2014-08-19,25.080460667015696,55,1,9.061009506083195
2014-11-27,24.13649183156859,48,1,2.5993349480351213
2014-11-28,31.322841178152675,54,1,0.2807485216732033
2015-01-10,56.23160640518921,78,1,2.5708528571608156
2015-04-11,68.71962943073325,94,1,6.06031106505074
2015-05-15,48.276496798479464,71,1,0.5435423591245865
2015-06-13,79.59270024093622,46,-1,13.142858003409202
2015-06-30,39.468068901530586,61,1,1.0238210198840463
2015-07-01,48.50284099242775,78,1,8.246655365832368
2015-07-11,92.55128282135696,72,-1,0.2512366813746354
2015-07-14,53.27310331243598,28,-1,4.399597852012334
2015-07-18,97.76673066099185,74,-1,1.7128383121089854
2015-07-25,81.13861233319126,108,1,4.6242606409699505
2015-07-26,77.54065665729328,105,1,7.90905762009487
2015-09-04,48.004278479596714,79,1,8.405800120345376
2015-09-06,78.8412996932473,103,1,2.8540027188526125
2015-12-22,38.994947804974835,70,1,9.464877478836186
2015-12-23,43.964231121187936,72,1,7.1677287907671285
2015-12-24,48.18608967963521,80,1,13.42547309670772
2015-12-26,100.8255451031486,68,-1,12.776447800500861
2015-12-30,54.03692993615058,80,1,4.736573873920136
2015-12-31,54.921072468713,78,1,2.2670633801874374
2016-01-09,83.01843844171897,58,-1,3.5863606168827005
2016-01-23,87.5981323842376,116,1,6.497285361481374
2016-02-08,35.26492373419733,60,1,3.990059972585229
2016-02-10,36.13439252398075,57,1,1.3992670231083508
2016-02-14,88.71478313338663,111,1,0.1416201699020121
2016-02-25,41.55668744420137,19,-1,2.5199734620257566
2016-03-27,95.92892772307795,119,1,1.8934373153729922
2016-04-02,99.63419124044543,122,1,1.6326559208375642
2016-04-23,101.50734031925056,135,1,12.646932799969164
2016-04-30,101.44858656796384,127,1,5.289704448610607
2016-05-05,47.6609034869416,73,1,3.6832792147115754
2016-05-29,100.00189501131509,124,1,3.442743142250336
2016-06-11,104.90558052545396,83,-1,0.44258950385132323
