ds,yhat,fact,anomaly,importance
2012-06-11,48.6738389258185,94,1,1.1252398898452185
2012-12-12,31.93711111627538,75,1,0.682864694466403
2012-12-31,51.74767922066951,100,1,1.5599086832851867
2013-01-29,28.498366486786985,73,1,0.9393866608962753
2013-04-13,117.39307903651364,71,-1,1.6190304493596415
2014-05-24,172.98817718062378,226,1,8.88043015495569
2014-05-25,164.43017726922488,223,1,12.10534518019685
2014-07-04,160.9286193787863,219,1,12.096436221015637
2014-07-05,199.51546441984897,268,1,22.456506533079192
2014-08-31,170.43297062928002,281,1,62.620036744583956
2014-09-06,160.42860028250914,110,-1,3.5208043551270833
2014-10-18,143.46860454946432,219,1,27.726418435726515
2014-10-19,130.21077563263455,188,1,13.321916294493235
2014-11-29,132.44387913018457,177,1,1.418237400843708
2014-12-31,68.43644061079391,136,1,20.791894239513837
2015-04-25,158.5899711470709,253,1,48.714173500270874
2015-05-02,154.81043528206976,105,-1,3.300563810132175
2015-05-17,148.42620363237626,210,1,15.535189218154414
2015-05-23,210.54330027474944,259,1,3.1390077944724624
2015-05-24,202.16524748007188,281,1,33.32535748363773
2015-05-31,190.0250760553707,128,-1,12.874305809428108
2015-06-14,181.85894221765648,241,1,11.984053442395691
2015-07-07,163.79103823979432,89,-1,26.13822363791965
2015-07-08,162.3290521417073,91,-1,24.24262335961275
2015-07-09,164.84437437117282,116,-1,0.6910743898582012
2015-09-05,213.51519218742018,263,1,3.1216351421694526
2015-09-06,192.25964036468585,252,1,12.97541114557697
2015-10-08,107.38710947564702,153,1,1.1840726324074353
2015-10-10,186.87531877616945,231,1,2.5156102731494627
2015-10-23,125.31536169641626,175,1,1.041109377154669
2015-11-28,173.6116187774717,223,1,1.923491854623137
2015-12-26,179.9436646085906,123,-1,9.529878437176308
2016-01-27,55.85448300099209,97,1,0.7014312219153283
2016-02-01,51.083341101767715,99,1,1.596384396432029
2016-03-08,66.5351942786619,125,1,13.510600304878238
2016-04-01,130.23240635509458,188,1,11.460278930587805
2016-04-02,187.56162213424705,268,1,34.18699196976684
2016-04-03,169.65669216673246,226,1,9.885687364006571
2016-05-24,166.74212022782046,114,-1,6.131392982930919
2016-05-25,174.01258481112401,111,-1,18.825408770768263
2016-05-29,239.58430403462046,390,1,108.50628035685293
2016-05-30,152.53806527473853,241,1,41.85644058504772
2016-06-29,172.9215885000297,119,-1,9.140269445125114
2016-07-02,290.2158136904085,355,1,19.49195913760576
2016-07-03,276.9455477544603,378,1,56.52945049839002
2016-07-04,199.7513400316608,277,1,33.56101165326183
2016-08-11,175.77242330012635,132,-1,0.2034236870713073
2016-08-13,251.39877096028917,195,-1,10.869504762339545
2016-08-31,158.8866283280138,109,-1,6.924824312956446
2016-09-02,186.77048452884145,239,1,4.071652124016424
2016-09-03,236.26282197139108,405,1,125.4786218488598
2016-09-04,213.58417619672568,413,1,154.99852620497518
2016-09-05,204.79558319794296,302,1,50.0959052602401
2016-11-13,148.81332478471808,201,1,7.435873124744518
2016-11-24,92.9212794155599,145,1,5.087013400474575
2016-11-25,117.02479700345452,190,1,28.12644525577352
2016-12-17,139.05144281158914,84,-1,5.2716187136832815
2016-12-24,162.96540769046769,103,-1,12.895610694696572
2016-12-25,97.72657235569964,53,-1,0.7289083798392682
2016-12-28,84.9163618355943,138,1,5.758097090053951
2016-12-29,94.02240874051682,150,1,11.306862165382455
2017-01-01,144.4320286962307,98,-1,0.2739896820777119
2017-01-21,145.56113098655453,79,-1,15.889389198099124
2017-03-11,157.7979175681231,109,-1,1.9658666302972705
2017-03-25,161.9019150989514,115,-1,0.7414957893707879
2017-05-23,145.92673740020376,93,-1,8.41831167671512
2017-05-24,155.408486534595,97,-1,10.863942020498172
2017-05-25,168.3391802042556,118,-1,8.012004105875704
2017-05-27,245.4590509027972,300,1,10.015607029233593
2017-05-28,226.19824081209492,383,1,111.5528020710268
2017-05-29,148.01662400040829,207,1,14.890277882700218
2017-06-22,123.89816977576125,178,1,0.8542494692663354
2017-06-23,150.58559742406578,212,1,17.246529697149725
2017-06-24,207.5798504543459,324,1,69.7161477552404
2017-06-25,197.37460100325123,269,1,25.536810118820313
2017-07-02,255.01476139808514,331,1,29.52746423479448
2017-07-08,261.1207038931238,216,-1,2.1471878042704304
2017-07-14,164.75928134104927,212,1,0.03884536613020373
2017-07-15,214.9650449548012,302,1,44.316200245589414
2017-07-16,197.4118620711139,301,1,57.84670067820778
2017-08-03,159.5418198304584,105,-1,5.4554064240497695
2017-08-13,227.60306408062797,274,1,2.201206426273245
2017-08-28,155.2670096343719,107,-1,1.8489658152903132
2017-09-02,235.7594681766795,353,1,72.33445506718908
2017-09-03,214.4980394776237,344,1,86.22905556103109
2017-10-15,165.36980415463833,119,-1,0.5487398137882593
2017-10-28,165.65836685643166,368,1,154.1173043766946
2017-10-29,150.8025904067526,418,1,224.40634231198626
2017-11-05,148.8773116778146,103,-1,0.527587782581918
2017-11-24,108.82678909774671,161,1,4.082964029932953
2017-12-23,144.23048300531946,97,-1,1.9474627847065449
2017-12-24,133.68699124567834,77,-1,9.361409647569701
2018-01-06,129.60506438861754,74,-1,10.74029294777253
2018-04-15,143.97413197654944,81,-1,20.19358796157296
2018-04-28,150.1068042096979,217,1,21.11101895958356
2018-05-22,116.43595436507546,59,-1,14.420938414045807
2018-05-26,209.75801213459653,328,1,76.67524339304231
2018-05-27,195.53800618063386,434,1,194.02992540017064
2018-05-28,130.9828045027558,260,1,83.55949760107518
2018-06-17,165.28463067023498,215,1,6.0175984866315275
2018-07-03,151.04237224191235,211,1,16.444602288559054
2018-07-04,156.4440272159936,214,1,11.272953744359398
2018-07-13,141.69398855722253,193,1,5.93955614029332
2018-07-14,181.52047447836296,275,1,48.59490310073849
2018-07-15,165.24628999518737,217,1,6.69265521080024
2018-07-31,114.28593504805914,179,1,17.151790455980063
2018-08-01,118.77219991306572,222,1,57.24318811918113
2018-08-02,128.33037137306076,234,1,57.590675922718106
2018-08-03,150.67621398636874,223,1,28.812867248114486
2018-08-04,196.6864505227122,305,1,62.33481760629098
2018-08-05,185.831592012071,329,1,97.68431819682004
2018-08-26,181.03579359947983,131,-1,2.7196909827231366
2018-08-28,122.69251800253063,63,-1,18.322005521105126
2018-08-29,127.22458175078022,83,-1,0.1876045480114641
2018-09-01,195.9813440666023,270,1,30.447954637748467
2018-09-02,179.85879902834924,278,1,52.11155848097758
2018-09-15,153.03202167992777,250,1,51.473415518413304
2018-09-16,141.29165570678413,243,1,58.804041702654786
2018-10-28,127.72795902009452,76,-1,6.8877330738757365
2018-11-17,132.02180139108873,83,-1,2.746894685414901
2018-12-22,123.28140358933801,71,-1,8.132397793208384
2019-01-05,118.3769253973288,58,-1,14.015438479439652
2019-02-03,94.45550088473587,44,-1,5.107178536607826
2019-02-17,107.3137428136946,153,1,0.46714617172574435
2019-04-20,142.08501798683486,237,1,49.48415023878053
2019-05-25,182.42270453923078,246,1,16.22954003291244
2019-05-26,172.1019847407492,267,1,50.892655251642026
2019-05-27,117.51448284254352,171,1,5.490730790153151
2019-06-15,159.17054263535863,112,-1,0.43247389008469383
2019-07-04,143.8322877818053,236,1,44.419839228396825
2019-07-05,162.29678526658907,290,1,81.90403555515547
2019-07-06,199.6704117911759,274,1,28.747832208901713
2019-07-12,130.14518099268983,217,1,41.12331142168304
2019-07-13,163.78171679052963,283,1,70.66085415632014
2019-07-14,148.1414946950041,277,1,82.22608841258813
2019-08-07,113.1623709082394,171,1,13.539000856200545
2019-08-08,121.5236228687029,262,1,94.86092972326912
2019-08-09,140.14412958311493,258,1,72.04186157443087
2019-08-10,178.4763719912428,244,1,18.429462047645472
2019-08-11,166.4325172581024,295,1,83.39697409370442
2019-08-16,127.95110967406661,222,1,48.14476448890602
2019-08-17,163.58758261723557,276,1,64.50820038905042
2019-08-18,150.14585263498057,319,1,120.9543352299371
2019-09-01,160.27908651185078,216,1,10.467144368685666
2019-09-07,147.8666463142567,84,-1,18.885682701453234
2019-09-20,100.34435909446928,151,1,4.246667623531465
2019-09-21,138.555499370937,218,1,34.79691434836721
2019-09-22,127.59467277955468,210,1,36.17798178120606
