ds,yhat,fact,anomaly,importance
2010-08-24,6.160778067494913,20,1,3.372538989628655
2010-09-04,9.152728585838593,20,1,0.3512298717627189
2010-10-30,15.079378217762004,4,-1,0.729208411825975
2010-11-24,13.697754466903708,24,1,0.17889101385242512
2010-11-25,14.04941311848933,29,1,3.8148645491101796
2010-11-26,16.011417959591267,29,1,2.6345430079648615
2010-12-01,13.31516655751773,25,1,1.0315481957386403
2010-12-05,18.288195752127454,6,-1,1.9151935827297866
2010-12-19,21.40655369712182,11,-1,0.04349500015729646
2010-12-25,18.66882562746409,8,-1,0.4198113376016366
2010-12-26,21.847709323199037,10,-1,2.0380219988552177
2011-01-03,15.54595747929061,26,1,0.2454543950943453
2011-01-08,22.005050003652634,10,-1,1.818065986070895
2011-01-09,20.148905896090888,7,-1,2.910644932419885
2011-01-14,15.801788738813919,27,1,0.45844226131336896
2011-01-15,20.6087740512956,33,1,1.831670610784844
2011-01-18,13.237503756867543,25,1,0.5138932230978064
2011-01-20,15.057335251622801,33,1,6.7814622191345855
2011-01-21,17.496579587364465,34,1,6.023562362264535
2011-01-23,21.039312238036757,33,1,2.022868148913414
2011-01-24,14.60848367595935,38,1,12.298478452726965
2011-01-26,15.254763998082398,34,1,8.973490603102292
2011-01-27,15.35429955862932,27,1,1.3510732872889726
2011-01-28,17.24199971032124,33,1,5.716130499491374
2011-01-31,13.181292184660977,36,1,12.962669192596358
2011-02-01,12.8142418380537,24,1,0.6391740907373631
2011-02-02,13.424985076354055,28,1,3.536898961563395
2011-02-19,20.108833051400037,5,-1,3.7452820486061214
2011-02-20,19.109678367401877,8,-1,0.85208896788318
2011-02-23,14.71810823318159,33,1,7.843174161762324
2011-02-24,15.180815654455436,29,1,2.9929565364314143
2011-02-26,21.44530809161552,32,1,0.9776052661652272
2011-02-27,20.230918237045213,40,1,8.877468819515304
2011-03-01,14.236137295805483,29,1,4.227348087137159
2011-03-02,14.853329894854683,25,1,0.2873505255165085
2011-03-03,14.887887117558844,39,1,13.371557490229101
2011-03-07,12.920592984583243,27,1,3.915130060005307
2011-03-10,13.367147617999613,26,1,2.0674670714682506
2011-03-11,15.138940284345118,36,1,10.266198814124753
2011-03-12,19.003528046667256,30,1,0.8667344450125967
2011-03-16,13.271767411745962,27,1,3.2160614574809117
2011-03-18,15.457669259844245,31,1,5.414142235522757
2011-04-27,11.243777412280823,22,1,0.7699515963987338
2011-08-14,11.527527659078876,27,1,5.05788792047635
2011-10-03,11.4828647638941,26,1,4.217422388387455
2011-11-01,12.30340046120947,26,1,3.8186415629715142
2011-11-02,13.4038560937113,26,1,2.5532152119064726
2011-11-04,16.351224665006924,33,1,6.334708588473067
2011-11-05,21.136040059496203,34,1,2.8176491370874857
2011-11-14,14.469958535311699,25,1,0.1712145062883863
2011-11-28,16.047982762621125,5,-1,0.5696577827418743
2011-12-07,15.926907127531454,27,1,0.21713945826159176
2011-12-08,16.469283360259148,30,1,2.7509149724080117
2011-12-09,19.27347044126013,30,1,0.45807629083565615
2011-12-14,17.912140239796173,33,1,4.5942139067516266
2011-12-16,20.94958360582063,32,1,1.2658256830752563
2011-12-21,17.44846019459676,34,1,6.040307975506909
2011-12-22,17.608095724103823,31,1,3.0585125502171913
2011-12-23,19.957904252047992,41,1,10.773008447379652
2011-12-24,25.136083677934668,38,1,2.5117117040578805
2011-12-28,17.20019295466835,35,1,6.4792347436027775
2011-12-29,17.649252210306816,30,1,1.4561515525530773
2012-01-22,22.276215747471763,11,-1,0.21077483194450153
2012-01-28,23.36810714875901,10,-1,3.3881825555913405
2012-01-29,21.6350432947314,5,-1,5.716670795242095
2012-02-05,19.730083270195777,9,-1,0.42239915463979827
2012-02-26,22.081011732591776,11,-1,0.5874652100374469
2012-04-04,15.3876595889295,28,1,2.256709569559611
2012-04-08,20.306813213022455,9,-1,1.2414181032912737
2012-04-10,14.4200696483429,27,1,2.051508216896785
2012-04-17,13.66645595703957,26,1,1.421487898527026
2012-04-18,14.380640469417589,25,1,0.22444312897339458
2012-04-22,19.217180637051825,10,-1,0.07068570719942358
2012-04-29,19.376213769386,8,-1,1.0645213799553108
2012-06-06,14.139891965641025,4,-1,0.16123618194141986
2012-06-23,21.725002214890683,7,-1,3.8100112871749534
2012-06-30,22.32254443816756,10,-1,1.7970981806440776
2012-07-29,19.53519488128693,8,-1,0.9240449568542708
2012-08-04,20.70995835402143,10,-1,0.5363988930222892
2012-08-07,13.211426881929269,29,1,5.2213094782346765
2012-08-16,16.47035745021165,36,1,9.182287397435093
2012-08-23,17.59780790125646,36,1,7.829018295661616
2012-08-26,22.73653115780132,12,-1,0.8934080610487882
2012-09-04,14.696049089762996,25,1,0.05274881642062468
2012-09-17,15.671222934609577,27,1,1.4002559248225168
2012-10-14,21.47741552439115,32,1,0.41937309217005847
2012-10-21,21.60768113060986,33,1,1.091693086046316
2012-12-28,19.991198346128172,9,-1,1.5488198679993914
2013-01-06,23.01956645145184,38,1,4.334126564948598
2013-03-16,27.821872721054827,16,-1,2.3560527918514396
2013-03-31,27.99099161118998,10,-1,7.250527194409209
2013-04-06,30.44799367946303,48,1,6.468110274588966
2013-05-06,20.555296686452408,9,-1,1.569231498149275
2013-06-04,18.735661597240988,30,1,0.64967672054782
2013-06-06,20.072577164941947,31,1,0.8761592080046263
2013-06-16,26.6613754383091,14,-1,2.323556315603973
2013-07-01,19.717687824345127,31,1,0.7980643295632639
2013-07-06,30.05489355795682,16,-1,3.7451969573014665
2013-07-07,28.101930827813497,17,-1,1.2781009441495073
2013-07-10,20.35399500349545,32,1,1.4835059854773576
2013-07-20,30.516616084094682,19,-1,1.383423073185753
2013-07-21,28.616524318777227,18,-1,0.066104543896639
2013-07-29,18.13537110099271,8,-1,0.5768366220414141
2013-07-31,18.891389338840934,33,1,3.720846224445303
2013-08-02,22.07646755244399,9,-1,3.4649148950415523
2013-08-03,28.30558769150737,17,-1,1.008317991414021
2013-08-16,25.387772745417927,37,1,1.5546168891555538
2013-09-01,29.398812502096103,39,1,0.09597135192976225
