ds,yhat,fact,anomaly,importance
2010-06-25,1.4608636187453667,12,1,0.9514538863738675
2012-07-16,6.602494290615467,20,1,3.5365257018157124
2012-07-24,7.41223286452987,22,1,4.104736259111519
2012-09-15,13.492584159379597,3,-1,0.40993657711060116
2012-11-11,14.792850043854683,25,1,0.14833841675085324
2012-12-30,17.906329211221177,7,-1,0.8162399802773157
2013-01-18,8.714559801487974,22,1,2.8773570872876704
2013-01-19,15.08985888668957,28,1,1.9179244254019636
2013-01-21,7.054001162426237,19,1,1.9200711987481114
2013-02-27,7.200821000054995,18,1,0.12879387336442605
2013-03-10,16.54779989504174,28,1,1.0997573167871906
2013-03-23,17.532939075646627,31,1,2.9962749504837873
2013-04-25,9.740793380475704,20,1,0.38503535954327717
2013-04-30,9.170047908554448,29,1,10.27562682769453
2013-05-01,9.101134296468684,22,1,2.9500717673933323
2013-08-03,20.41756337465964,7,-1,2.3414938489345367
2013-08-31,20.61142942734596,31,1,0.156264204169954
2013-09-07,20.023550225228906,38,1,8.467959048332041
2013-12-21,23.35174968758481,5,-1,8.343962129200138
2013-12-22,23.847038077765927,10,-1,3.095213940341628
2013-12-25,10.345264251517715,24,1,3.2985337091451647
2014-01-19,20.643315753115488,32,1,1.1411749299368132
2014-01-26,22.074797018581574,9,-1,3.003255273507495
2014-02-09,20.05508932017992,30,1,0.3171781750313123
2014-02-22,22.751752137831907,11,-1,0.9935885084242955
2014-03-30,24.871935427284452,37,1,1.6802571142763867
2014-05-11,26.352955480879004,37,1,0.2164013511602576
2014-05-17,25.802605215582542,13,-1,2.1159438720460617
2014-05-26,11.80626977234255,33,1,11.136206954331215
2014-06-06,16.395161941293082,31,1,4.274916490611172
2014-06-20,17.273573750724353,7,-1,0.3657619475805456
2014-06-24,14.988101264319331,25,1,0.3113107117380487
2014-06-25,15.15672711117944,36,1,11.339258623061323
2014-06-26,16.791125233249563,43,1,15.946187663550766
2014-06-27,19.67068283609555,33,1,3.415656345045967
2014-07-23,14.875631620346494,55,1,30.300059905354924
2014-07-24,16.35419815240761,38,1,11.144503725029416
2014-07-25,19.12636159755437,30,1,1.3476696208155623
2014-07-27,29.457346951265556,48,1,8.436901081174994
2014-08-03,28.816907276177623,18,-1,0.6535646868521958
2014-08-16,29.522359992170507,17,-1,2.7927560757237515
2014-09-20,27.629277668980976,40,1,2.564965088331512
2014-10-17,17.62139428669721,7,-1,0.5008380469825591
2014-11-16,29.635014747341625,42,1,2.044633638781818
2014-12-19,20.072805899585404,33,1,2.4824665572138898
2014-12-22,17.837143448914887,29,1,1.7212662836899213
2014-12-25,16.465932139402742,28,1,1.5438011265222507
2014-12-27,36.67147945566856,20,-1,6.64822455828407
2014-12-28,36.63778538643611,24,-1,2.26799161067828
2014-12-31,18.888305099246427,36,1,7.462395115461181
2015-01-25,32.057797616540086,43,1,0.06166122265543805
2015-02-01,30.69835385955155,18,-1,2.2533466016590964
2015-02-28,31.871720803850017,48,1,6.172719327353107
2015-03-07,31.928612330522647,20,-1,1.6034678910351978
2015-03-14,33.707859762048436,23,-1,0.1504595461213718
2015-03-15,33.82093142356188,51,1,7.0267558594010495
2015-03-21,34.39923482960881,47,1,2.089958651563954
2015-04-10,21.549507281036142,33,1,1.1531813286315575
2015-04-12,34.496028083805655,47,1,1.501086609793525
2015-05-02,36.634159417837154,52,1,5.573336548542144
2015-05-11,18.88789910340033,8,-1,0.48292463971325184
2015-06-06,36.83290671137204,55,1,8.16279720224101
2015-06-24,20.587312762255348,32,1,1.444789506100932
2015-07-26,40.74153431429872,29,-1,0.921759188002401
2015-07-31,26.06968954343738,39,1,3.437249862989013
2015-08-02,39.98899183069812,25,-1,5.116994981344703
2015-08-09,39.30825557400851,26,-1,3.3474478155254133
2015-08-11,19.689371069803634,31,1,1.5072543498033788
2015-08-27,22.564566491776773,36,1,3.726986631228833
2015-09-05,39.20534633713063,30,-1,0.18766724241813648
2015-09-12,38.00382563677639,50,1,1.1909999347391036
2015-09-26,38.893291896592565,24,-1,4.353329129207964
2015-10-03,37.9223554308865,27,-1,0.3059108020779284
2015-10-10,35.601115741064646,25,-1,0.13265163726162044
2015-10-24,39.83542623004995,29,-1,0.6488262643326408
2015-11-03,16.563736880825896,26,1,0.12114376249143533
2015-11-07,38.01874337952947,57,1,8.855658070873176
2015-11-21,37.42976707128842,27,-1,0.06345740001715683
2015-12-06,36.46427255365851,23,-1,2.81409945564047
2015-12-22,22.426728164525134,35,1,2.2976692573795603
2015-12-26,45.81926857704528,31,-1,4.898149769978502
2016-01-02,43.14369084442266,31,-1,2.310632090343219
2016-01-21,18.82638419462764,30,1,0.26403569205974264
2016-01-30,38.5236874158172,51,1,2.115287470973307
2016-02-20,39.712496866248294,51,1,1.4767803201720184
2016-02-21,39.72154559154325,55,1,5.270849844877539
2016-03-05,37.327027163469985,59,1,12.127663175060789
